Field Name	Field Description
Proposed use of building	{'FieldType': 'Text', 'FieldName': 'Proposed use of building', 'FieldNameAlt': 'Proposed use of building', 'FieldFlags': '4096', 'FieldJustification': 'Left'}
Current use of building	{'FieldType': 'Text', 'FieldName': 'Current use of building', 'FieldNameAlt': 'Current use of building', 'FieldFlags': '4096', 'FieldJustification': 'Left'}
Description of proposed work	{'FieldType': 'Text', 'FieldName': 'Description of proposed work', 'FieldNameAlt': 'Description of proposed work', 'FieldFlags': '4096', 'FieldJustification': 'Left'}
Signature of applicant	{'FieldType': 'Signature', 'FieldName': 'Signature of applicant', 'FieldNameAlt': 'Signature of applicant', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Description of designers work	{'FieldType': 'Text', 'FieldName': 'Description of designers work', 'FieldNameAlt': 'Description of designer&#8217;s work', 'FieldFlags': '4096', 'FieldJustification': 'Left'}
Signature of Designer	{'FieldType': 'Signature', 'FieldName': 'Signature of Designer', 'FieldNameAlt': 'Signature of Designer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Application submitted to ((Name of municipality, upper-tier municipality, board of health or conservation authority)	{'FieldType': 'Text', 'FieldName': 'Application submitted to ((Name of municipality, upper-tier municipality, board of health or conservation authority)', 'FieldNameAlt': 'Application submitted to ((Name of municipality, upper-tier municipality, board of health or conservation authority)', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project building number street name	{'FieldType': 'Text', 'FieldName': 'Project building number street name', 'FieldNameAlt': 'Project building number street name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project unit number	{'FieldType': 'Text', 'FieldName': 'Project unit number', 'FieldNameAlt': 'Project unit number', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project Lot/Concession	{'FieldType': 'Text', 'FieldName': 'Project Lot/Concession', 'FieldNameAlt': 'Project Lot/Concession', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project postal code	{'FieldType': 'Text', 'FieldName': 'Project postal code', 'FieldNameAlt': 'Project postal code', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project plan number/other description	{'FieldType': 'Text', 'FieldName': 'Project plan number/other description', 'FieldNameAlt': 'Project plan number/other description', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project value estimated (in dollars)	{'FieldType': 'Text', 'FieldName': 'Project value estimated (in dollars)', 'FieldNameAlt': 'Project value estimated (in dollars)', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Project area of work (in square metres)	{'FieldType': 'Text', 'FieldName': 'Project area of work (in square metres)', 'FieldNameAlt': 'Project area of work (in square metres)', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Individual BCIN of Designer for Registered Firm	{'FieldType': 'Text', 'FieldName': 'Individual BCIN of Designer for Registered Firm', 'FieldNameAlt': 'Individual BCIN of Designer for Registered Firm', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Firm BCINFirm BCIN of Designer for Registered Firm	{'FieldType': 'Text', 'FieldName': 'Firm BCINFirm BCIN of Designer for Registered Firm', 'FieldNameAlt': 'Firm BCIN of Designer for Registered Firm', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Individual BCIN for Other Designer	{'FieldType': 'Text', 'FieldName': 'Individual BCIN for Other Designer', 'FieldNameAlt': 'Individual BCIN for Other Designer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Basis for exemption from registration for Other Designer	{'FieldType': 'Text', 'FieldName': 'Basis for exemption from registration for Other Designer', 'FieldNameAlt': 'Basis for exemption from registration for Other Designer', 'FieldFlags': '0', 'FieldJustification': 'Left'}
For design work, Basis for exemption from registration and qualification	{'FieldType': 'Text', 'FieldName': 'For design work, Basis for exemption from registration and qualification', 'FieldNameAlt': 'For design work, Basis for exemption from registration and qualification', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Date Applicant Signed Main Form	{'FieldType': 'Text', 'FieldName': 'Date Applicant Signed Main Form', 'FieldNameAlt': 'Date Applicant Signed Main Form', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Date Sewage System Installer Applicant Signed	{'FieldType': 'Text', 'FieldName': 'Date Sewage System Installer Applicant Signed', 'FieldNameAlt': 'Date Sewage System Installer Applicant Signed', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Signature of Sewage System Installer Applicant	{'FieldType': 'Signature', 'FieldName': 'Signature of Sewage System Installer Applicant', 'FieldNameAlt': 'Signature of Sewage System Installer Applicant', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant last name	{'FieldType': 'Text', 'FieldName': 'Applicant last name', 'FieldNameAlt': 'Applicant last name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant First name	{'FieldType': 'Text', 'FieldName': 'Applicant First name', 'FieldNameAlt': 'Applicant First name', 'FieldFlags': '0', 'FieldJustification': 'Left'}
Applicant Corporation or partnership	{'FieldType': 'Text', 'FieldName': 'Applicant Corporation or partnership', 'FieldNameAlt': 'Applicant Corporation or partnership', 'FieldFlags': '0', 'FieldJustification': 'Left'}
